file	language	section	exact_visible_text	result	review_note
contact.html	zh	channels	可用的聯絡方式 可透過公開電子郵件 wuzong2025@gmail.com 或首頁的 Formspree 表單聯絡本站。這兩種方式可用於提交公開來源、事實更正、失效連結、翻譯問題與公開協作提案。 首頁表單位於 index.html#contact，並將填寫內容提交至 https://formspree.io/f/xgvdozke。	PASS-REVIEWED	繁體中文渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	zh	submissions	您可以提交什麼 公開來源，以及該來源所支持的頁面、段落或事實陳述。 指出問題確切位置並附上佐證資料的事實更正。 失效的外部連結，或顯示錯誤的來源標題。 翻譯問題，例如姓名、法律術語、日期或來源歸屬錯誤。 不公開私人或敏感資訊的公開合作提案。	PASS-REWRITTEN	繁體中文提交清单逐项核对「支持的頁面、段落或事實陳述」「確切位置」「顯示錯誤的來源標題」，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	zh	form-data	Formspree 資料流和安全 首頁表單會將 name、email、message 三個欄位提交給外部表單服務 Formspree。Formspree 處理這些欄位並把訊息轉送給本站，讓本站能夠接收來信。 請勿使用該表單傳送住址、電話號碼、身分證件、未公開的家庭關係、未成年人的敏感資訊、私人影像，或可能識別中國境內人士並使其面臨危險的資料。 此表單不適合傳送敏感、緊急或機密資料。本站無法控制 Formspree 如何儲存或處理所提交的資料。	PASS-REWRITTEN	繁體中文数据流逐句核对「提交給」「處理」「轉送給本站」，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	en	channels	Available contact channels Contact the site through the public email address wuzong2025@gmail.com or the Formspree form on the homepage. Either channel can be used for public sources, factual corrections, broken links, translation problems, and public collaboration proposals. The homepage form is at index.html#contact and submits its contents to https://formspree.io/f/xgvdozke.	PASS-REVIEWED	English渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	en	submissions	What you can submit A public source and the page, passage, or factual statement it supports. A factual correction that identifies the exact passage and provides supporting material. A broken external link or a source title displayed incorrectly. A translation problem involving a name, legal term, date, or source attribution. A public collaboration proposal that does not disclose private or sensitive information.	PASS-REWRITTEN	English提交清单逐项核对“page, passage, or factual statement”, “exact passage”, and “source title displayed incorrectly”，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	en	form-data	Formspree data flow and safety The homepage form submits the three fields name, email, and message to the external form service Formspree. Formspree processes those fields and forwards the message to the site so that the site can receive the correspondence. Do not use the form to send home addresses, phone numbers, identity documents, undisclosed family relationships, sensitive information about minors, private images, or material that could identify or endanger people inside China. The form is unsuitable for sensitive, urgent, or confidential material. The site does not control how Formspree stores or processes submitted data.	PASS-REWRITTEN	English数据流逐句核对“submits to”, “processes”, and “forwards … to the site”，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	ja	channels	連絡方法 公開メールアドレス wuzong2025@gmail.com またはホームページの Formspree フォームから連絡できます。公開資料、事実関係の訂正、リンク切れ、翻訳上の問題、公開の協力提案はいずれの方法でも送れます。 ホームページのフォームは index.html#contact にあり、送信先は https://formspree.io/f/xgvdozke です。	PASS-REVIEWED	日本語渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	ja	submissions	提出できるもの 公開資料と、その資料が裏付けるページ、記述、または事実関係。 問題箇所と裏付け資料を明示した事実訂正。 切れている外部リンク、または誤って表示されている出典名。 氏名、法律用語、日付、出典表示の誤りなど、翻訳上の問題。 個人情報や機微な情報を含まない、公開の協力に関する提案。	PASS-REWRITTEN	日本語提交清单逐项核对「裏付けるページ、記述、事実関係」「問題箇所」「誤って表示されている出典名」，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	ja	form-data	Formspree のデータ フローと安全性 ホームページのフォームは、name、email、message の3項目を外部フォームサービスの Formspree に送信します。Formspree はこれらの項目を処理し、サイトが連絡を受け取れるようメッセージをサイトへ転送します。 このフォームには、自宅住所、電話番号、身分証明書、非公開の家族関係、未成年者の機微情報、私的な画像、または中国国内の人を特定し危険にさらすおそれのある資料を送らないでください。 このフォームは、機微な情報、緊急の連絡、秘密情報の送信には適していません。サイトは、Formspree による送信データの保存・処理方法を管理できません。	PASS-REWRITTEN	日本語数据流逐句核对「送信」「処理」「サイトへ転送」，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	ko	channels	연락 방법 공개 이메일 주소 wuzong2025@gmail.com 또는 홈페이지의 Formspree 양식으로 연락할 수 있습니다. 공개 자료, 사실관계 정정, 깨진 링크, 번역 문제, 공개 협업 제안은 어느 경로로든 보낼 수 있습니다. 홈페이지 양식은 index.html#contact에 있으며 입력 내용은 https://formspree.io/f/xgvdozke로 제출됩니다.	PASS-REVIEWED	한국어渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	ko	submissions	제출할 수 있는 것 공개 자료와 그 자료가 뒷받침하는 페이지, 문단 또는 사실 서술. 문제의 정확한 위치와 근거 자료를 제시한 사실 정정. 끊어진 외부 링크 또는 잘못 표시된 출처 제목. 이름, 법률 용어, 날짜 또는 출처 표시의 오류와 관련된 번역 문제. 개인 정보나 민감한 정보를 드러내지 않는 공개 협업 제안.	PASS-REWRITTEN	한국어提交清单逐项核对“뒷받침하는 페이지, 문단 또는 사실 서술”, “정확한 위치”, “잘못 표시된 출처 제목”，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	ko	form-data	Formspree 데이터 흐름 및 안전 홈페이지 양식은 name, email, message 세 필드를 외부 양식 서비스인 Formspree에 제출합니다. Formspree는 이 필드를 처리한 뒤 사이트가 연락을 받을 수 있도록 메시지를 사이트로 전달합니다. 집 주소, 전화번호, 신분 증명서, 비공개 가족 관계, 미성년자에 관한 민감한 정보, 개인 이미지 또는 중국 내 사람들을 식별하거나 위험에 빠뜨릴 수 있는 자료를 보내는 데 양식을 사용하지 마십시오. 이 양식은 민감하거나 긴급하거나 기밀인 자료를 보내는 데 적합하지 않습니다. 사이트는 Formspree가 제출된 자료를 저장하고 처리하는 방식을 통제하지 않습니다.	PASS-REWRITTEN	한국어数据流逐句核对“제출”, “처리”, “사이트로 전달”，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	es	channels	Vías de contacto Puede escribir al correo público wuzong2025@gmail.com o utilizar el formulario Formspree de la página de inicio. Ambas vías admiten fuentes públicas, correcciones de hechos, enlaces rotos, problemas de traducción y propuestas de colaboración pública. El formulario de la página de inicio se encuentra en index.html#contact y envía su contenido a https://formspree.io/f/xgvdozke.	PASS-REVIEWED	español渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	es	submissions	Qué puede enviar Una fuente pública y la página, el pasaje o la afirmación que respalda. Una corrección factual que señale el pasaje exacto y aporte material de respaldo. Un enlace externo roto o un título de fuente mostrado de forma incorrecta. Un problema de traducción relacionado con un nombre, un término jurídico, una fecha o la atribución de una fuente. Una propuesta de colaboración pública que no revele información privada o sensible.	PASS-REWRITTEN	español提交清单逐项核对«página, pasaje o afirmación», «pasaje exacto» y «título de fuente mostrado de forma incorrecta»，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	es	form-data	Flujo de datos y seguridad de Formspree El formulario de la página de inicio envía los tres campos name, email y message al servicio externo de formularios Formspree. Formspree procesa esos campos y reenvía el mensaje al sitio para que este pueda recibir la comunicación. No utilice el formulario para enviar direcciones particulares, números de teléfono, documentos de identidad, relaciones familiares no reveladas, información confidencial sobre menores, imágenes privadas o material que pueda identificar o poner en peligro a personas dentro de China. El formulario no es adecuado para material sensible, urgente o confidencial. El sitio no controla cómo Formspree almacena o procesa los datos enviados.	PASS-REWRITTEN	español数据流逐句核对«envía», «procesa» y «reenvía … al sitio»，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	de	channels	Kontaktmöglichkeiten Sie erreichen die Website über die öffentliche E-Mail-Adresse wuzong2025@gmail.com oder das Formspree-Formular auf der Startseite. Beide Wege eignen sich für öffentliche Quellen, sachliche Korrekturen, defekte Links, Übersetzungsprobleme und öffentliche Kooperationsvorschläge. Das Formular auf der Startseite befindet sich unter index.html#contact und übermittelt die Angaben an https://formspree.io/f/xgvdozke.	PASS-REVIEWED	Deutsch渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
