batch_tag	slug	source_id	expected_url	actual_status	final_url	actual_title	declared_date	observed_date	source_locator	fact_scope	decision	accessed_at
batch12	2026-report	q26-s1	https://www.hrw.org/world-report/2026/country-chapters/china	200	https://www.hrw.org/world-report/2026/country-chapters/china	World Report 2026: China | Human Rights Watch	2026-01-09	NO_PUBLICATION_DATE_VISIBLE	World Report 2026: China — China chapter passages on labor and social protest, expression and defenders, Hong Kong, Xinjiang, and Tibet	Annual case record for affected groups, government conduct, censorship, detention, and remedy gaps in the 2025–2026 overview	VERIFIED	2026-07-24T20:40:49-04:00
batch12	2026-report	q26-s2	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/	200	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/	Human rights in China Amnesty International	2026-04	NO_PUBLICATION_DATE_VISIBLE	Human rights in China — 2025/26 country-report subsections on freedom of expression, human-rights defenders, Hong Kong, Xinjiang, and Tibet	Annual rights cases, legal environment, state restrictions, and incomplete remedies	VERIFIED	2026-07-24T20:40:49-04:00
batch12	2026-report	q26-s3	https://freedomhouse.org/country/china/freedom-world/2026	200	https://freedomhouse.org/country/china/freedom-world/2026	China: Freedom in the World 2026 Country Report | Freedom House	2026-03-18	NO_PUBLICATION_DATE_VISIBLE	China: Freedom in the World 2026 Country Report — Political Rights and Civil Liberties narrative and scores	Institutional political-rights and civil-liberties environment underlying censorship, association, and judicial-remedy analysis	VERIFIED	2026-07-24T20:40:49-04:00
batch12	2026-report	q26-s4	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025	200	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025	Issue 11: October – December 2025 | Freedom House	2026-02-18	NO_PUBLICATION_DATE_VISIBLE	Issue 11: October–December 2025 — Key Findings, 2025 annual totals, group shares, and Douyin censorship analysis	Protest-event counts, worker/homeowner/rural grievances, police response, and platform deletion	VERIFIED	2026-07-24T20:40:49-04:00
batch12	2026-report	q26-s5	https://rsf.org/en/2026-rsf-index-press-freedom-25-year-low	200	https://rsf.org/en/2026-rsf-index-press-freedom-25-year-low	2026 RSF Index: press freedom at a 25-year low | RSF	2026-04-30	NO_PUBLICATION_DATE_VISIBLE	2026 RSF Index: press freedom at a 25-year low — index overview and China ranking entry	Press-freedom ranking and structural pressure on journalists and news circulation	VERIFIED	2026-07-24T20:40:49-04:00
batch12	2026-report	q26-s6	https://cpj.org/special-reports/2025-journalist-jailings-remain-stubbornly-high-harsh-prison-conditions-pervasive/	200	https://cpj.org/special-reports/2025-journalist-jailings-remain-stubbornly-high-harsh-prison-conditions-pervasive/	2025 journalist jailings remain stubbornly high; harsh prison conditions pervasive - Committee to Protect Journalists	2026-01-21	2026-01-21	2025 journalist jailings remain stubbornly high — China entry in the prison census and prison-conditions discussion	Journalists imprisoned in China and custodial pressure on reporting	VERIFIED	2026-07-24T20:40:49-04:00
batch12	2026-report	q26-s7	https://www.cecc.gov/publications/commission-analysis/report-prcs-transnational-repression-and-malign-influence-2025	200	https://www.cecc.gov/publications/commission-analysis/report-prcs-transnational-repression-and-malign-influence-2025	Report on the PRC’s Transnational Repression and Malign Influence in 2025 | CECC	2026-06-04	2026-06-04	Report on the PRC’s Transnational Repression and Malign Influence in 2025 — sections on coercion, digital threats, proxies, and pressure on relatives	Legal, administrative, digital, and transnational tools reaching overseas communities and families	VERIFIED	2026-07-24T20:40:49-04:00
batch12	china-dissent-monitor-2025	cdm25-s1	https://freedomhouse.org/report/china-dissent-monitor	200	https://freedomhouse.org/report/china-dissent-monitor	China Dissent Monitor | Freedom House	UNDATED	NO_PUBLICATION_DATE_VISIBLE	China Dissent Monitor — database methodology, issue archive, and event map; no publication date attached to the living overview	Ongoing event preservation and coding methodology for publicly visible protest and dissent	UNDATED_CONFIRMED	2026-07-24T20:40:49-04:00
batch12	china-dissent-monitor-2025	cdm25-s2	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025	200	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025	Issue 11: October – December 2025 | Freedom House	2026-02-18	NO_PUBLICATION_DATE_VISIBLE	Issue 11: October–December 2025 — Key Findings, annual comparison, Q4 total, group shares, and 2,970-post Douyin sample	5,343 events; 3,704 comparable; 44% increase; 1,363 Q4; 54/22/14 shares; about two-thirds of sampled posts deleted	VERIFIED	2026-07-24T20:40:49-04:00
batch12	china-dissent-monitor-2025	cdm25-s3	https://freedomhouse.org/country/china/freedom-world/2026	200	https://freedomhouse.org/country/china/freedom-world/2026	China: Freedom in the World 2026 Country Report | Freedom House	2026-03-18	NO_PUBLICATION_DATE_VISIBLE	China: Freedom in the World 2026 Country Report — expression, assembly, association, and rule-of-law discussion	Institutional restrictions on public expression, association, and legal remedy	VERIFIED	2026-07-24T20:40:49-04:00
