slug	source_id	source_type	url	title_zh	audited_date	precision	verification_status	evidence_locator	accessed_at	note
2024-report	s1	human-rights-organization	https://www.hrw.org/report/2024/05/22/educate-masses-change-their-minds/chinas-forced-relocation-rural-tibetans	Human Rights Watch — 「教育群眾轉變觀念」：中國強迫農村藏人搬遷	2024-05-21	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/report/2024/05/22/educate-masses-change-their-minds/chinas-forced-relocation-rural-tibetans | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2024-report	s2	institutional-public	https://www.cecc.gov/publications/annual-reports/2024-annual-report	Congressional-Executive Commission on China — 2024年年度報告	2024-12-16	day	VERIFIED_SOURCE_DATE	https://www.cecc.gov/publications/annual-reports/2024-annual-report | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2024-report	s3	institutional-public	https://www.legco.gov.hk/yr2024/english/ord/2024ord006-e.pdf	Hong Kong Legislative Council — 維護國家安全條例	2024-03-23	day	MANUAL_REVIEW_REQUIRED	https://www.legco.gov.hk/yr2024/english/ord/2024ord006-e.pdf | publication marker, document metadata, or bibliographic record	2026-07-15	HTTP 406 during the final direct-link audit
2024-report	s4	human-rights-organization	https://rsf.org/en/2024-world-press-freedom-index-journalism-under-political-pressure	Reporters Without Borders — 2024 年世界新聞自由指數－政治壓力下的新聞業	2024-05-03	day	VERIFIED_SOURCE_DATE	https://rsf.org/en/2024-world-press-freedom-index-journalism-under-political-pressure | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2024-report	s5	united-nations-document	https://docs.un.org/en/A/HRC/56/6	United Nations — Report of the Working Group on the Universal Periodic Review: China	2024-01-26	day	VERIFIED_SOURCE_DATE	https://docs.un.org/en/A/HRC/56/6 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2026-report	q26-s1	human-rights-organization country-retrospective	https://www.hrw.org/world-report/2026/country-chapters/china	Human Rights Watch, World Report 2026: China	2026-01-09	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/world-report/2026/country-chapters/china | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2026-report	q26-s2	human-rights-organization annual-rights-report	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/	Amnesty International, China 2025/26	2026-04	month	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2026-report	q26-s3	human-rights-organization country-index	https://freedomhouse.org/country/china/freedom-world/2026	Freedom House, Freedom in the World 2026: China	2026-03-18	day	VERIFIED_SOURCE_DATE	https://freedomhouse.org/country/china/freedom-world/2026 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2026-report	q26-s4	human-rights-organization protest-dataset	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025	Freedom House, China Dissent Monitor Issue 11: Oct–Dec 2025	2026-02-18	day	VERIFIED_SOURCE_DATE	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2026-report	q26-s5	human-rights-organization press-freedom-index	https://rsf.org/en/2026-rsf-index-press-freedom-25-year-low	Reporters Without Borders, 2026 World Press Freedom Index	2026-04-30	day	VERIFIED_SOURCE_DATE	https://rsf.org/en/2026-rsf-index-press-freedom-25-year-low | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
